ville;population;pct_france;candidat;id;liste;programme_complet;nb_propositions;site_campagne;email;type_email;twitter;source_contact;statut_contact
Nice;342669;0.51;Cédric Vella;vella;Reconquête;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Nice;342669;0.51;Hélène Granouillac;granouillac;Vivre Nice;NON;0;;;;;;A RECHERCHER
Nice;342669;0.51;Jean-Marc Governatori;governatori;L'écologie au centre;NON;0;;;;;;A RECHERCHER
Nice;342669;0.51;Juliette Chesnel-Le Roux;chesnel;Unis pour Nice (Écologistes/PS/PCF);NON;0;;;;;unispournice.fr (à vérifier);A RECHERCHER
Nice;342669;0.51;Mireille Damiano;damiano;Nice Front Populaire (LFI/ViVA!);NON;0;;;;;à vérifier manuellement;A RECHERCHER
Nice;342669;0.51;Nathalie Dloussky;dloussky;Ensemble pour la grandeur de la France;NON;0;;ensemblepourlagrandeurdlfrance@gmail.com;campagne;;nicepremium.fr;EMAIL OK
Nice;342669;0.51;Éric Ciotti;ciotti;Ciotti 2026 (UDR/RN);OUI;0;https://www.ciotti2026.fr/;contact@ciotti2026.fr;campagne;;ciotti2026.fr;EMAIL OK
Nantes;320732;0.47;Alexandre Gauvin;gauvin;Nantes ouvrière et révolutionnaire (NPA);NON;0;;;;;à vérifier manuellement;A RECHERCHER
Nantes;320732;0.47;Foulques Chombart de Lauwe;chombart;Un nouveau souffle pour Nantes (LR/MoDem/Horizons);OUI;0;https://www.foulqueschombartdelauwe.fr/;;;;foulqueschombartdelauwe.fr (à vérifier);SITE A VERIFIER
Nantes;320732;0.47;Jean-Claude Hulot;hulot;Pour une Nantes sûre (RN);NON;0;;;;;à vérifier manuellement;A RECHERCHER
Nantes;320732;0.47;Johanna Rolland;rolland;La gauche unie pour Nantes (PS/EELV/PCF);NON;0;;contact@lagaucheuniepournantes.fr;campagne;;lagaucheuniepournantes.fr;EMAIL OK
Nantes;320732;0.47;Margot Medkour;medkour;Nantes populaire;NON;0;;;;;;A RECHERCHER
Nantes;320732;0.47;Mounir Belhamiti;belhamiti;Nantes mérite mieux (Renaissance);NON;0;;contact@nantesmeritemieux.fr;campagne;;nantesmeritemieux.fr;EMAIL OK
Nantes;320732;0.47;Nicolas Bazille;bazille;Lutte Ouvrière;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Nantes;320732;0.47;William Aucant;aucant;Nouvelle Nantes (LFI);NON;0;;;;;;A RECHERCHER
Montpellier;295542;0.44;France Jamet;jamet;RN-UDR;NON;0;https://francejamet.com/;france.jamet@europarl.europa.eu;institutionnel;@FranceJamet;recherche web;EMAIL OK
Montpellier;295542;0.44;Isabelle Perrein;perrein;Aimer Montpellier (LR-UDI-MoDem);NON;0;https://www.isabelleperrein2026.fr/;contact@isabelleperrein2026.fr;campagne;;isabelleperrein2026.fr;EMAIL OK
Montpellier;295542;0.44;Jean-Louis Roumegas;roumegas;Le Printemps montpelliérain (EELV);NON;0;https://printemps-montpellierain.fr/;jean-louis.roumegas@assemblee-nationale.fr;institutionnel;@jlroumegas;recherche web;EMAIL OK
Montpellier;295542;0.44;Max Muller;muller;Révolution permanente;NON;0;;;;;;A RECHERCHER
Montpellier;295542;0.44;Michaël Delafosse;delafosse;PS (maire sortant);NON;0;https://www.michaeldelafosse.fr/;contact@michaeldelafosse.fr;campagne;@MDelafosse;recherche web;EMAIL OK
Montpellier;295542;0.44;Mohed Altrad;altrad;Divers droite;NON;0;https://altrad2026.fr/;;;;;SITE A VERIFIER
Montpellier;295542;0.44;Nathalie Oziol;oziol;L'union de la gauche de rupture (LFI);OUI;0;https://www.nathalieoziol.fr/;nathalie.oziol@assemblee-nationale.fr;institutionnel;@NathalieOziol;recherche web;EMAIL OK
Montpellier;295542;0.44;Rémi Gaillard;gaillard;Sans étiquette;NON;0;;;;;;A RECHERCHER
Montpellier;295542;0.44;Thierry Tsagalos;tsagalos;Ex-RN (sans investiture);NON;0;;;;;;A RECHERCHER
Strasbourg;290576;0.43;Catherine Trautmann;trautmann;PS;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Strasbourg;290576;0.43;Cem Yoldas;yoldas;Strasbourg c'est nous (NPA);NON;0;;;;;;A RECHERCHER
Strasbourg;290576;0.43;Clément Soubise;soubise;NPA-Révolutionnaires;NON;0;;;;;;A RECHERCHER
Strasbourg;290576;0.43;Fahad Raja Muhammad;muhammad;Strasbourg sans frontières (MPI);NON;0;;;;;fahadrajamuhammad.fr (à vérifier);A RECHERCHER
Strasbourg;290576;0.43;Florian Kobryn;kobryn;Strasbourg fière et solidaire (LFI);NON;0;http://kobryn2026.eu/;kobryn2026@gmail.com;campagne;;kobryn2026.eu;EMAIL OK
Strasbourg;290576;0.43;Ismaïl Becherirat;becherirat;Unis pour Strasbourg;NON;0;;;;;;A RECHERCHER
Strasbourg;290576;0.43;Jean-Philippe Vetter;vetter;Aimer Strasbourg (LR);NON;0;;contact@aimerstrasbourg.alsace;campagne;;aimerstrasbourg.alsace;EMAIL OK
Strasbourg;290576;0.43;Jeanne Barseghian;barseghian;Strasbourg juste et vivante (EELV);NON;0;;;;;strasbourg.eu (à vérifier);A RECHERCHER
Strasbourg;290576;0.43;Linda Ibiem;ibiem;Strasbourg vivant (PS/Convergence);NON;0;;;;;;A RECHERCHER
Strasbourg;290576;0.43;Louise Fève;feve;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Strasbourg;290576;0.43;Mohamed Sylla;sylla;Utiles Bas-Rhin;NON;0;;;;;utiles67.fr (à vérifier);A RECHERCHER
Strasbourg;290576;0.43;Pierre Jakubowicz;jakubowicz;Strasbourg on y croit ! (Horizons);NON;0;;contact@pierrejakubowicz.eu;campagne;;pierrejakubowicz.eu;EMAIL OK
Strasbourg;290576;0.43;Thibaut Vinci;vinci;PRG;NON;0;;;;;;A RECHERCHER
Strasbourg;290576;0.43;Virginie Joron;joron;Sauver Strasbourg (RN);NON;0;;virginie.joron@europarl.europa.eu;institutionnel;;virginiejoron.fr;EMAIL OK
Bordeaux;260958;0.39;Philippe Poutou;poutou;Rouge Bordeaux Anticapitaliste;NON;0;;;;;bordeauxenluttes.fr (à vérifier);A RECHERCHER
Bordeaux;260958;0.39;Pierre Hurmic;hurmic;Bordeaux Respire (Écologistes);OUI;0;https://pierrehurmic2026.fr/notre-programme/;contact@pierrehurmic2026.fr;campagne;;pierrehurmic2026.fr;EMAIL OK
Bordeaux;260958;0.39;Thomas Cazenave;cazenave;Renaissance;NON;0;https://fairegagnerbordeaux.fr/;thomas.cazenave@assemblee-nationale.fr;institutionnel;;assemblee-nationale.fr;EMAIL OK
Lille;236234;0.35;Arnaud Deslandes;deslandes;PS;NON;0;;;;;violette2026.fr (à vérifier);A RECHERCHER
Lille;236234;0.35;Baptiste Roussel;roussel;Au-delà des partis;NON;0;;;;;baptisteroussel-lille.fr (à vérifier);A RECHERCHER
Lille;236234;0.35;David Metschies;metschies;Lille Prospère;NON;0;;;;;davidmetschies.fr (à vérifier);A RECHERCHER
Lille;236234;0.35;Lahouaria Addouche;addouche;LFI;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Lille;236234;0.35;Louis Delemer;delemer;LR;NON;0;;;;;louisdelemer.fr (à vérifier);A RECHERCHER
Lille;236234;0.35;Matthieu Valet;valet;RN;NON;0;;matthieu.valet@europarl.europa.eu;institutionnel;;europarl.europa.eu;EMAIL OK
Lille;236234;0.35;Pierre Madelain;madelain;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Lille;236234;0.35;Stéphane Baly;baly;Lille demain (EELV);NON;0;https://lilledemain.fr/;sbaly@mairie-lille.fr;institutionnel;;lilleverte.fr;EMAIL OK
Lille;236234;0.35;Violette Spillebout;spillebout;Renaissance;NON;0;https://vspillebout.fr/;violette@vspillebout.fr;campagne;;vspillebout.fr;EMAIL OK
Rennes;222485;0.33;Charles Compagnon;compagnon;Vivre Rennes ! (Horizons);NON;0;;c.compagnon@ville-rennes.fr;institutionnel;;metropole.rennes.fr;EMAIL OK
Rennes;222485;0.33;Erell Duclos;duclos;Révolution permanente;NON;0;;;;;erellduclos.municipales-rp.fr (à vérifier);A RECHERCHER
Rennes;222485;0.33;Julien Masson;masson;RN/UDR;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Rennes;222485;0.33;Marie Mesmeur;mesmeur;LFI;NON;0;;marie.mesmeur@assemblee-nationale.fr;institutionnel;;assemblee-nationale.fr;EMAIL OK
Rennes;222485;0.33;Morgane Pernot-Goarvot;pernot;Parti des travailleurs;NON;0;;;;;;A RECHERCHER
Rennes;222485;0.33;Nathalie Appéré;appere;Rennes solidaire (PS/EELV/PCF/UDB);NON;0;;n.appere@ville-rennes.fr;institutionnel;;metropole.rennes.fr;EMAIL OK
Rennes;222485;0.33;Sandra Chirazi;chirazi;Lutte Ouvrière;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Rennes;222485;0.33;Thomas Rousseau;trousseau;L'espoir rennais (LR);NON;0;;;;;espoir-rennais.fr (à vérifier);A RECHERCHER
Rennes;222485;0.33;Ulysse Rabaté;rabate;Rennes commune (ex-LFI);NON;0;;ulysse.rabate@univ-rennes.fr;universitaire;;arenes.eu;EMAIL OK
Rennes;222485;0.33;Victor Darcissac;darcissac;NPA-Révolutionnaires;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Rennes;222485;0.33;Yan Mélan;melan;Équinoxe;NON;0;;;;;;A RECHERCHER
Reims;182460;0.27;Anne-Sophie Frigout;frigout;Rassemblement National;OUI;0;https://frigout2026.fr/;contact@frigout2026.fr;campagne;@asfrigout;recherche web;EMAIL OK
Reims;182460;0.27;Arnaud Robinet;robinet;Horizons (soutenu par LR);NON;0;https://www.arnaudrobinet2026.fr/;;;@ArnaudRobinet;recherche web;TWITTER OK
Reims;182460;0.27;Patricia Coradel;coradel;La France Insoumise;NON;0;;;;;;A RECHERCHER
Reims;182460;0.27;Stéphane Lang;lang;Les Rémois au cœur (LR dissident);NON;0;;;;@stephanelang51;recherche web;TWITTER OK
Reims;182460;0.27;Sébastien Mura;mura;Nous c'est Reims;NON;0;https://www.reims-2026.fr/;;;@sebastienmura;recherche web;TWITTER OK
Reims;182460;0.27;Thomas Rose;rose;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Reims;182460;0.27;Éric Quénard;quenard;PS-Écologistes-PCF-Place Publique;NON;0;https://ericquenard.fr/;;;;;SITE A VERIFIER
Toulon;176198;0.26;Emmanuel Le Lostec;le-lostec;En Avant Toulon-Isso Touloun;NON;0;;;;;;A RECHERCHER
Toulon;176198;0.26;Isaline Cornil;cornil;La France Insoumise;NON;0;;;;;;A RECHERCHER
Toulon;176198;0.26;Josée Massi;massi;Toulon mon parti (sortante);NON;0;https://joseemassi.com/;;;;;SITE A VERIFIER
Toulon;176198;0.26;Laure Lavalette;lavalette;Un avenir pour Toulon (soutenue par le RN);NON;0;https://www.unavenirpourtoulon.fr/;unavenirpourtoulon@gmail.com;campagne;;unavenirpourtoulon.fr;EMAIL OK
Toulon;176198;0.26;Magali Brunel;brunel;Toulon en Commun (PS-PCF-Écologistes);NON;0;https://toulonencommun2026.fr/;;;;;SITE A VERIFIER
Toulon;176198;0.26;Michel Bonnus;bonnus;Toulon en Grand (LR);NON;0;https://toulonengrand.fr/;presse@toulonengrand.fr;presse;;toulonengrand.fr;EMAIL OK
Saint-Étienne;174082;0.26;Corentin Jousserand;jousserand;Rassemblement National;NON;0;;;;;;A RECHERCHER
Saint-Étienne;174082;0.26;Dino Cinieri;cinieri;Saint-Étienne Ensemble 2026 (LR/UDI/Horizons/Renaissance/MoDem);NON;0;https://www.cinieri2026.com/;depute@dinocinieri.fr;institutionnel;@DinoCinieri;recherche web;EMAIL OK
Saint-Étienne;174082;0.26;Marc Chassaubéné;chassaubene;Majorité sortante (1er adjoint);NON;0;;;;;;A RECHERCHER
Saint-Étienne;174082;0.26;Romain Brossard;brossard;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Saint-Étienne;174082;0.26;Régis Juanico;juanico;Rassembler Saint-Étienne (PS/EELV/PCF);NON;0;;;;;;A RECHERCHER
Saint-Étienne;174082;0.26;Siham Labich;labich;Liste citoyenne (2e adjointe sortante);NON;0;;;;;;A RECHERCHER
Saint-Étienne;174082;0.26;Valentine Mercier;mercier;La France Insoumise;NON;0;https://mercier2026.fr/;mercier2026@etik.com;campagne;;recherche web;EMAIL OK
Saint-Étienne;174082;0.26;Éric Le Jaouen;le-jaouen;Relevons Saint-Étienne (Horizons dissident);NON;0;https://www.lejaouen2026.fr/;;;@EricLeJaouen;recherche web;TWITTER OK
Le Havre;169733;0.25;Charlotte Boulogne;boulogne;Le Havre Insoumis! (LFI);NON;0;;;;;;A RECHERCHER
Le Havre;169733;0.25;Franck Keller;keller;Alliance UDR-RN;NON;0;;;;;;A RECHERCHER
Le Havre;169733;0.25;Jean-Paul Lecoq;lecoq;Mieux vivre ensemble au Havre (Front populaire havrais/PCF);OUI;0;https://jplecoq2026.fr/;;;;jplecoq2026.fr (a verifier);SITE A VERIFIER
Le Havre;169733;0.25;Magali Cauchois;cauchois;Lutte ouvrière – le camp des travailleurs;NON;0;;;;;;A RECHERCHER
Le Havre;169733;0.25;Sophie Zarifian;zarifian;Le Havre en débat (citoyen);OUI;0;https://lhendebat.fr/;;;;lhendebat.fr (a verifier);SITE A VERIFIER
Le Havre;169733;0.25;Édouard Philippe;philippe;Le Havre! (Horizons);OUI;0;https://ep2026.fr/;contact@edouardphilippe.fr;campagne;;ep2026.fr;EMAIL OK
Dijon;159346;0.24;Claire Rocher;rocher;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Dijon;159346;0.24;Emmanuel Bichot;bichot;Agir pour Dijon (LR/UDI/Horizons);NON;0;https://www.bichot2026.fr/;;;@emmanuelbichot;recherche web;TWITTER OK
Dijon;159346;0.24;Michel Haberstrau;haberstrau;Dijon Change d'ère (EELV/PCF);NON;0;https://dijonchangedere.fr/;contact@dijonchangedere.fr;campagne;;recherche web;EMAIL OK
Dijon;159346;0.24;Nathalie Koenders;koenders;Dijon Écologique, Sociale, Attractive (PS/MoDem/EELV);NON;0;https://koenders2026.fr/;nathalie.koenders@cotedor.fr;institutionnel;@nkoenders;recherche web;EMAIL OK
Dijon;159346;0.24;Olivier Minard;minard;Dijon Populaire (LFI);NON;0;;municipales_lfi_dijon@protonmail.com;campagne;;recherche web;EMAIL OK
Dijon;159346;0.24;Rémi Goguel;goguel;Dijon Avenir (citoyenne écologiste);NON;0;;;;;;A RECHERCHER
Dijon;159346;0.24;Thierry Coudert;coudert;Rassemblement Dijonnais (UDR-RN);NON;0;;;;@thierrycoudert;recherche web;TWITTER OK
Grenoble;158198;0.23;Alain Carignon;carignon;Réconcilier Grenoble (LR/Renaissance);OUI;0;https://reconciliergrenoble.fr/;alain.carignon@grenoble.fr;institutionnel;@CarignonAlain;recherche web;EMAIL OK
Grenoble;158198;0.23;Allan Brunon;brunon;Faire mieux pour Grenoble (LFI);NON;0;;;;;;A RECHERCHER
Grenoble;158198;0.23;Baptiste Anglade;anglade;NPA-Révolutionnaires;NON;0;;;;;;A RECHERCHER
Grenoble;158198;0.23;Catherine Brun;brun;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Grenoble;158198;0.23;Hervé Gerbi;gerbi;Nous Grenoble (Horizons);NON;0;https://www.hervegerbi.fr/;;;@gerbiherve;recherche web;TWITTER OK
Grenoble;158198;0.23;Laurence Ruffin;ruffin;Oui Grenoble (EELV/PS/PCF/Génération.s);NON;0;https://oui-grenoble.fr/;;;;;SITE A VERIFIER
Grenoble;158198;0.23;Nadia Belaïd;belaid;Grenoble Alpes Collectif (citoyenne);NON;0;https://www.grenoblealpescollectif.fr/;;;;;SITE A VERIFIER
Grenoble;158198;0.23;Romain Gentil;gentil;Grenoble Capitale Citoyenne (PRG/Place Publique);OUI;0;https://grenoble-capitale-citoyenne.fr/;;;;grenoble-capitale-citoyenne.fr (a verifier);SITE A VERIFIER
Grenoble;158198;0.23;Valentin Gabriac;gabriac;Grenoble Capitale des Alpes (RN/UDR);NON;0;;;;;;A RECHERCHER
Angers;155850;0.23;Arash Saeidi;saeidi;Angers populaire (LFI);NON;0;;;;@arashsaeidi;recherche web;TWITTER OK
Angers;155850;0.23;Aurore Lahondès;lahondes;Rassemblement National;NON;0;;;;;;A RECHERCHER
Angers;155850;0.23;Christophe Béchu;bechu;Angers pour vous (Horizons/Renaissance/MoDem);OUI;0;https://www.angersbechu.fr/;;;@ChristopheBechu;recherche web;TWITTER OK
Angers;155850;0.23;Noam Leandri;leandri;Angers Coopérative (citoyen);NON;0;;;;;;A RECHERCHER
Angers;155850;0.23;Romain Laveau;laveau;Demain Angers (gauche unie/Écologistes);OUI;0;;;;@RomainLaveau;recherche web;TWITTER OK
Villeurbanne;154781;0.23;Cédric Van Styvendael;styvendael;PS (soutenu par Écologistes/PCF/Place publique);NON;0;;;;;;A RECHERCHER
Villeurbanne;154781;0.23;Gérald Canon;canon;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Villeurbanne;154781;0.23;Jean-Paul Bret;bret;Divers gauche (ex-maire, liste autonome);NON;0;;;;;;A RECHERCHER
Villeurbanne;154781;0.23;Marc Fraysse;fraysse;Sans étiquette (ex-LR);NON;0;;;;;;A RECHERCHER
Villeurbanne;154781;0.23;Mathieu Garabédian;garabedian;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Villeurbanne;154781;0.23;Nadia Bouhami;bouhami;Lutte Ouvrière;NON;0;;;;;;A RECHERCHER
Villeurbanne;154781;0.23;Sophie Cruz;cruz;Droite et centre (union LR-centre);NON;0;;;;;;A RECHERCHER
Saint-Denis (La Réunion);154766;0.23;Farid Mangrolia;mangrolia;Divers centre, Tous Dionysiens;NON;0;;;;;;A RECHERCHER
Saint-Denis (La Réunion);154766;0.23;Gaëlle Lebon;lebon;Rassemblement Réunion (ex-RN/Reconquête);NON;0;;;;;;A RECHERCHER
Saint-Denis (La Réunion);154766;0.23;Giovanni Payet;payet;Divers, collectif La Voix Citoyenne;NON;0;;;;;;A RECHERCHER
Saint-Denis (La Réunion);154766;0.23;Jean-Max Nativel;nativel;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Saint-Denis (La Réunion);154766;0.23;Ludovic Sautron;sautron;Écologiste / divers gauche;NON;0;;;;;;A RECHERCHER
Saint-Denis (La Réunion);154766;0.23;René-Paul Victoria;victoria;LR (Les Républicains);NON;0;;;;;;A RECHERCHER
Saint-Denis (La Réunion);154766;0.23;Éricka Bareigts;bareigts;PS (Parti Socialiste);NON;0;;;;;;A RECHERCHER
Nîmes;148561;0.22;Franck Proust;proust;LR-Horizons-UDI-Parti radical;NON;0;;;;;;A RECHERCHER
Nîmes;148561;0.22;Jean-Marc Philibert;philibert;Liste citoyenne VIVONS Nîmes;NON;0;;;;;;A RECHERCHER
Nîmes;148561;0.22;Julien Plantier;plantier;Nîmes Avenir + Renaissance;NON;0;;;;;;A RECHERCHER
Nîmes;148561;0.22;Julien Sanchez;sanchez;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Nîmes;148561;0.22;Pascal Dupretz;dupretz;LFI (La France Insoumise);NON;0;;;;;;A RECHERCHER
Nîmes;148561;0.22;Vincent Bouget;bouget;Union de la gauche (hors LFI), Nîmes en Commun;NON;0;;;;;;A RECHERCHER
Le Mans;148340;0.22;Benjamin Sainty;sainty;Révolution Permanente;NON;0;;;;;;A RECHERCHER
Le Mans;148340;0.22;Marietta Karamanli;karamanli;Union de la gauche écologique et citoyenne (EELV/PCF);NON;0;;contact@mariettakaramanli.fr;campagne;@MKaramanli72;recherche web;EMAIL OK
Le Mans;148340;0.22;Olivier Sasso;sasso;LR (Les Républicains);NON;0;;;;@olsasso;recherche web;TWITTER OK
Le Mans;148340;0.22;Pascale Fontenel-Personne;fontenel-personne;Renaissance (Ensemble);NON;0;;;;;;A RECHERCHER
Le Mans;148340;0.22;Stéphane Le Foll;foll;PS (Parti Socialiste);NON;0;;;;@SLeFoll;recherche web;TWITTER OK
Le Mans;148340;0.22;Victoria de Vigneral;vigneral;RN (Rassemblement National);NON;0;;;;;;A RECHERCHER
Clermont-Ferrand;147865;0.22;Antoine Darbois;darbois;Rassemblement National;NON;0;;;;;à vérifier manuellement;A RECHERCHER
Clermont-Ferrand;147865;0.22;Julien Bony;bony;Union Citoyenne de la Droite et du Centre;NON;0;https://bony2026.fr;julien.bony@bony2026.fr;campagne;;bony2026.fr;EMAIL OK
Clermont-Ferrand;147865;0.22;Marianne Maximi;maximi;Clermont fier et solidaire (LFI);NON;0;;marianne.maximi@assemblee-nationale.fr;institutionnel;;assemblee-nationale.fr;EMAIL OK
Clermont-Ferrand;147865;0.22;Olivier Bianchi;bianchi;Vivre Clermont !;OUI;0;https://bianchi2026.fr;;;;bianchi2026.fr (à vérifier);SITE A VERIFIER
Aix-en-Provence;147477;0.22;Jean-Louis Geiger;geiger;RN-UDR;NON;0;;;;;;A RECHERCHER
Aix-en-Provence;147477;0.22;Julie Boronad;boronad;Aix en commun (LFI);NON;0;;;;;;A RECHERCHER
Aix-en-Provence;147477;0.22;Marc Péna;pena;Aix en Partage (PS-PCF-EELV);NON;0;;marc.pena@assemblee-nationale.fr;institutionnel;@MarcPena_;recherche web;EMAIL OK
Aix-en-Provence;147477;0.22;Mounir Ben Ammar;ben-ammar;Aix-en-Provence ville vivante (REV);NON;0;;;;;;A RECHERCHER
Aix-en-Provence;147477;0.22;Philippe Klein;klein;Horizons;OUI;0;https://www.philippe-klein.fr/;;;;philippe-klein.fr (a verifier);SITE A VERIFIER
Aix-en-Provence;147477;0.22;Sophie Joissains;joissains;UDI (Union de la droite et du centre);NON;0;;;;;;A RECHERCHER
Brest;142722;0.21;Cécile Beaudouin;beaudouin;Brest Insoumise (LFI);NON;0;;;;;;A RECHERCHER
Brest;142722;0.21;François Cuillandre;cuillandre;La gauche unie pour Brest (PS/EELV/PRG/PCF);NON;0;https://www.brest-ensemble.fr/;;;@FCuillandre;recherche web;TWITTER OK
Brest;142722;0.21;Nazim Yenier;yenier;La Vague citoyenne (sans étiquette);NON;0;;;;;;A RECHERCHER
Brest;142722;0.21;Stéphane Roudaut;roudaut;Une nouvelle histoire pour Brest (DVD/UDI/Horizons/LR);NON;0;https://www.stephaneroudaut2026.fr/;;;;;SITE A VERIFIER
Brest;142722;0.21;Sébastien Muscat;muscat;Brest Nouvelle Vague (citoyen gauche);NON;0;;;;;;A RECHERCHER
Brest;142722;0.21;Yves Pagès;pages;Rassemblement National;NON;0;https://yvespages2026.fr/;;;;;SITE A VERIFIER
Tours;136463;0.20;Aleksandar Nikolic;nikolic;Rassemblement National;NON;0;;;;@Al_Nikolic;recherche web;TWITTER OK
Tours;136463;0.20;Benoist Pierre;pierre;Je m'engage pour Tours (Divers centre);NON;0;;;;;;A RECHERCHER
Tours;136463;0.20;Bertrand Rouzier;rouzier;Tours, vivante ! (PRG);NON;0;;;;;;A RECHERCHER
Tours;136463;0.20;Christophe Bouchet;bouchet;Tours pour tous (Centre-droit/LR);NON;0;https://tourspourtous.fr/;contact@tourspourtous.fr;campagne;@ch_bouchet;recherche web;EMAIL OK
